,Text,User_name,id,location,prob,status
0,"@ladygaga Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",KevinDarryl,2400901568,USA,0.692307692308,neutral
1,"@_tanaii @DJD @HillaryClinton stop being sexist, start supporting hillary. #ImWithHer",easilytriggered,766730462517719040,"Massachusetts, USA",0.8,neutral
2,Quit making excuses the president and @HillaryClinton where not there when the people needed them! #USA https://t.co/GyytDfGi2J,DakotaLeeDilley,578700957,"Bowling Green, OH",0.411764705882,hate
3,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back https://t.co/xacy3Q9qcA",Clouseau_J,2216384640,"Kadky, stanbul",0.75,neutral
4,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",HollyCarolEarls,98275031,Oklahoma,0.391304347826,neutral
5,It is past time for women to take their rightful place. @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate https://t.co/E8Av3Fe04J,Hillary2016Pres,4176516076,U.S.A,0.5,neutral
6,"@CNN @hillaryclinton @wsj @SenSanders @WSJ @abc HRC usual tactic of lie,lie,lie, evade, or delay. Same ol' Hillary! https://t.co/FGPC0VvQwd",Haley_Greentree,749296461699964928,"Fort Worth, TX",0.833333333333,neutral
7,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" https://t.",glbobadilla21,2414335563,"Miami, Fl",0.666666666667,neutral
8,Your clothing line is made off shores.  https://t.co/ref8l3zCmr,chandler_crump1,458656270,Home of the Free. ,0.375,neutral
9,@miner333 @HillaryClinton  it's an ugly word...but the word applies to her.,fubaglady,16004747,Los Angeles,0.545454545455,neutral
10,@TeddyDavisCNN @CNN @HillaryClinton Please get Trump off the air now. Stop airing his entire rallies!! There has to be other news to cover,SmallSandi,3015012045,winter park florida ,0.478260869565,hate
11,RT @TeddyDavisCNN: Donald Trump just said that @HillaryClinton would rather give a job to a refugee than to an unemployed African American.,vickscan,1477241472,Wisconsin ,0.409090909091,neutral
12,RT @NeilTurner_: @HillaryClinton Hillary cannot be trusted with classified information. #ExposeHillary #Reckless https://t.co/VqjS7kePZO,ellonianheiman,797451158,"Albany, LA",0.769230769231,neutral
13,@HillaryClinton this coming from the bogus Clinton foundation?,joanne_dahlia,1954817492,"Las Vegas, NV ",0.5,neutral
14,RT @AceRealityCheck: State Department Confirms @HillaryClinton NEVER Used Her Position For Personal Gain - https://t.co/gROTM7N3yL @StateDe,itsthebilg,2626131899,wnc,0.6875,neutral
15,RT @JewhadiTM: Judge: .@HillaryClinton must answer written questions from Judicial Watch about use of private emails @AP https://t.co/XO6di,RoddREpub,125201751,Chicago,0.666666666667,neutral
16,@HillaryClinton DEMENTIA OR PARKINSON'S?  #TrumpPence2016,peggysbh,485966364,"North Pole, AK",0.8,neutral
17,"RT @Johnatsrs1949:  @HillaryClinton ""Champion For Women""

Except For This RAPED 12 Year Old Girl

Scumbag For President? No Thanks.
. http",chente2474,2292492709,"Cle Elum, WA",0.5,neutral
18,"@ddlovato Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",KevinDarryl,2400901568,USA,0.692307692308,neutral
19,@FoxNews @HillaryClinton Boom Daddy Sic her Trump!!!,SCWomanforTrump,43806127,"South Carolina, USA",1.0,neutral
20,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back https://t.co/xacy3Q9qcA",susanfujioka,961371518,"North Carolina, USA",0.75,neutral
21,"RT @TheEllenShow: Happy birthday, @BillClinton! I hope @HillaryClinton got you some balloons. https://t.co/xIqxMSIJug",HELLASETTLED,94728289,Bay Area,0.615384615385,neutral
22,RT @finnygo: #colinpowell office statement to @foxnews on @HillaryClinton https://t.co/yFLNCCQUJ3,AtStampede,2471178577,"Providence, RI, USA",0.8,neutral
23,@realDonaldTrump forgot to mention the GOP congress is to blame for the state of the country @HRC2016VOTEBLUE @donmarvin @HillaryClinton,thanksRob,288892379,"New York, NY",0.421052631579,neutral
24,RT @DrJillStein: I asked CNN how @HillaryClinton explains #ClintonFoundation #PayToPlay emails. Clinton campaign response: no comment https,peacepumpkinpic,1281660648,Toronto Canada,0.823529411765,neutral
25,RT @matthewsdolan: .@realDonaldTrump going hard against @HillaryClinton on who would best represent interests of African Americans. @freep,SteveJapinga,115709668,"T: 42.735518,-84.486954",0.529411764706,neutral
